Character,Universe,Goodness,Badness,Note
Iron Man,Marvel,7.5,5,무기상으로 시작하나 희생적 영웅으로 변화. 오만함과 자기중심성 존재.
Captain America,Marvel,9.5,1.5,"절대적 도덕성, 이타적 희생. 체제와 권위에도 저항하는 윤리 중심."
Thor,Marvel,7,4.5,초기 오만하고 충동적이나 인간 세계에서 겸손과 책임을 배움.
Spider-Man,Marvel,9,2,청소년 히어로로 순수한 동기. 복수의 순간도 있지만 책임감 중심.
Doctor Strange,Marvel,7,3.5,오만한 외과의에서 수호자로 변화. 시간 조작의 윤리적 위험 있음.
Black Panther,Marvel,8.5,2.5,복수를 넘어 정의 선택. 와칸다 개방 결정은 윤리적 전환점.
Ant-Man,Marvel,7.5,3,전과자 출신이지만 가족 중심의 동기와 변화된 삶의 태도.
Black Widow,Marvel,8,5.5,과거 살인/첩보 경력. 이후 속죄와 궁극적 자기희생.
Batman,DC,7,6,복수심 기반 정의 추구. 불살 원칙 있지만 폭력적 접근 존재.
Superman,DC,9,1.5,선의 구현자. 막강한 힘에도 자제와 도덕을 실천함.
Wonder Woman,DC,9,2,평화 중심의 영웅. 강력하지만 권력 남용 없음.
Aquaman,DC,8,3,양 세계 간의 조정자. 무책임함에서 점차 책임감으로 변화.
Flash,DC,8.5,2.5,어머니 죽음으로 시간 개입. 동기는 선하나 윤리적 모호함 있음.